Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income
ZE1 0TY,No,60.154283,-1.151691,447197,1141391,HU471413,"","Shetland Islands","Lerwick South",S12000027,S13002778,Scotland,S99999999,"Orkney and Shetland",2003-02-01,2012-06-01,"","",,,"","","Lerwick North - 04","Very remote small town",,1,,S01012398,,S02002324,"Lerwick North",,S00129062,S14000051,3591,1,1,2020-02-19,"Thurso",219.739,ZE,ZE1,"Scotland","Scottish Water",9CGW5R3X+P8,
ZE1 0TZ,Yes,60.137058,-1.232122,442754,1139418,HU427394,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",2010-07-01,,"","",1,1,"","","Lerwick South - 01","Very remote rural area",,79,,S01012391,,S02002323,"Lerwick South",,S00129100,S14000051,5042,1,0,2020-02-19,"Thurso",215.474,ZE,ZE1,"Scotland","Scottish Water",9CGW4QP9+R5,
ZE1 0UA,Yes,60.138394,-1.278091,440199,1139538,HU401395,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",28,13,"","","Central Shetland - 03","Very remote rural area",,5,,S01012404,,S02002325,"Central Shetland",,S00129031,S14000051,4524,1,0,2020-02-19,"Thurso",214.033,ZE,ZE1,"Scotland","Scottish Water",9CGW4PQC+9Q,
ZE1 0UB,Yes,60.139427,-1.278176,440193,1139653,HU401396,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",30,11,"","","Central Shetland - 03","Very remote rural area",,15,,S01012404,,S02002325,"Central Shetland",,S00129031,S14000051,4524,1,0,2020-02-19,"Thurso",214.121,ZE,ZE1,"Scotland","Scottish Water",9CGW4PQC+QP,
ZE1 0UD,Yes,60.140109,-1.276541,440283,1139730,HU402397,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",10,6,"","","Central Shetland - 03","Very remote rural area",,15,,S01012404,,S02002325,"Central Shetland",,S00129082,S14000051,4524,1,0,2020-02-19,"Thurso",214.236,ZE,ZE1,"Scotland","Scottish Water",9CGW4PRF+29,
ZE1 0UE,Yes,60.138777,-1.277633,440224,1139581,HU402395,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1998-12-01,,"","",7,7,"","","Central Shetland - 03","Very remote rural area",,8,,S01012404,,S02002325,"Central Shetland",,S00129031,S14000051,4524,1,0,2020-02-19,"Thurso",214.082,ZE,ZE1,"Scotland","Scottish Water",9CGW4PQC+GW,
ZE1 0UF,Yes,60.150801,-1.143394,447663,1141009,HU476410,"","Shetland Islands","Lerwick South",S12000027,S13002778,Scotland,S99999999,"Orkney and Shetland",2004-07-01,,"","",7,4,"","","Lerwick North - 02","Very remote small town",,8,,S01012396,,S02002324,"Lerwick North",,S00129046,S14000051,4509,1,0,2020-02-19,"Thurso",219.725,ZE,ZE1,"Scotland","Scottish Water",9CGW5V24+8J,
ZE1 0UG,Yes,60.139297,-1.264334,440962,1139647,HU409396,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",79,32,"","","Lerwick South - 01","Very remote rural area",,14,,S01012391,,S02002323,"Lerwick South",,S00129104,S14000051,5042,1,0,2020-02-19,"Thurso",214.576,ZE,ZE1,"Scotland","Scottish Water",9CGW4PQP+P7,
ZE1 0UH,Yes,60.14088,-1.277983,440202,1139815,HU402398,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1998-12-01,,"","",10,4,"","","Central Shetland - 03","Very remote rural area",,24,,S01012404,,S02002325,"Central Shetland",,S00129028,S14000051,4524,1,0,2020-02-19,"Thurso",214.256,ZE,ZE1,"Scotland","Scottish Water",9CGW4PRC+9R,
ZE1 0UJ,Yes,60.139376,-1.275369,440349,1139649,HU403396,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",20,9,"","","Central Shetland - 03","Very remote rural area",,9,,S01012404,,S02002325,"Central Shetland",,S00129082,S14000051,4524,1,0,2020-02-19,"Thurso",214.211,ZE,ZE1,"Scotland","Scottish Water",9CGW4PQF+QV,
ZE1 0UL,Yes,60.146666,-1.273696,440433,1140462,HU404404,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",12,5,"","","Central Shetland - 03","Very remote rural area",,45,,S01012404,,S02002325,"Central Shetland",,S00128945,S14000051,4524,1,0,2020-02-19,"Thurso",214.91,ZE,ZE1,"Scotland","Scottish Water",9CGW4PWG+MG,
ZE1 0UN,Yes,60.133297,-1.286969,439712,1138965,HU397389,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",29,16,"","","Central Shetland - 03","Very remote rural area",,6,,S01012404,,S02002325,"Central Shetland",,S00129081,S14000051,4524,1,0,2020-02-19,"Thurso",213.284,ZE,ZE1,"Scotland","Scottish Water",9CGW4PM7+86,
ZE1 0UP,Yes,60.141741,-1.271122,440582,1139915,HU405399,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",36,14,"","","Central Shetland - 03","Very remote rural area",,13,,S01012404,,S02002325,"Central Shetland",,S00129030,S14000051,4524,1,0,2020-02-19,"Thurso",214.563,ZE,ZE1,"Scotland","Scottish Water",9CGW4PRH+MH,
ZE1 0UQ,Yes,60.158377,-1.262647,441032,1141773,HU410417,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",39,18,"","","Central Shetland - 03","Very remote rural area",,33,,S01012404,,S02002325,"Central Shetland",,S00128945,S14000051,4524,1,0,2020-02-19,"Thurso",216.316,ZE,ZE1,"Scotland","Scottish Water",9CGW5P5P+9W,
ZE1 0UR,Yes,60.138617,-1.261559,441117,1139573,HU411395,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",30,12,"","","Central Shetland - 03","Very remote rural area",,42,,S01012404,,S02002325,"Central Shetland",,S00128945,S14000051,4524,1,0,2020-02-19,"Thurso",214.61,ZE,ZE1,"Scotland","Scottish Water",9CGW4PQQ+C9,
ZE1 0US,Yes,60.130448,-1.266871,440832,1138660,HU408386,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",99,38,"","","Lerwick South - 01","Very remote rural area",,38,,S01012391,,S02002323,"Lerwick South",,S00129105,S14000051,5042,1,0,2020-02-19,"Thurso",213.713,ZE,ZE1,"Scotland","Scottish Water",9CGW4PJM+57,
ZE1 0UT,Yes,60.13989,-1.279067,440143,1139704,HU401397,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",51,33,"","","Central Shetland - 03","Very remote rural area",,21,,S01012404,,S02002325,"Central Shetland",,S00129029,S14000051,4524,1,0,2020-02-19,"Thurso",214.132,ZE,ZE1,"Scotland","Scottish Water",9CGW4PQC+X9,
ZE1 0UU,Yes,60.137641,-1.265343,440908,1139462,HU409394,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",2006-09-01,,"","",61,29,"","","Lerwick South - 01","Very remote rural area",,9,,S01012391,,S02002323,"Lerwick South",,S00129106,S14000051,5042,1,0,2020-02-19,"Thurso",214.397,ZE,ZE1,"Scotland","Scottish Water",9CGW4PQM+3V,
ZE1 0UW,Yes,60.133499,-1.287865,439662,1138987,HU396389,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",48,16,"","","Central Shetland - 03","Very remote rural area",,15,,S01012404,,S02002325,"Central Shetland",,S00129081,S14000051,4524,1,0,2020-02-19,"Thurso",213.272,ZE,ZE1,"Scotland","Scottish Water",9CGW4PM6+9V,
ZE1 0UX,Yes,60.140346,-1.280371,440070,1139754,HU400397,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",104,39,"","","Central Shetland - 03","Very remote rural area",,30,,S01012404,,S02002325,"Central Shetland",,S00129028,S14000051,4524,1,0,2020-02-19,"Thurso",214.128,ZE,ZE1,"Scotland","Scottish Water",9CGW4PR9+4V,
ZE1 0UY,Yes,60.13918,-1.27901,440147,1139625,HU401396,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",1993-08-01,,"","",34,18,"","","Central Shetland - 03","Very remote rural area",,15,,S01012404,,S02002325,"Central Shetland",,S00129029,S14000051,4524,1,0,2020-02-19,"Thurso",214.071,ZE,ZE1,"Scotland","Scottish Water",9CGW4PQC+M9,
ZE1 0UZ,Yes,60.140236,-1.265213,440912,1139751,HU409397,"","Shetland Islands","Shetland Central",S12000027,S13002775,Scotland,S99999999,"Orkney and Shetland",2001-06-01,,"","",42,20,"","","Lerwick South - 01","Very remote rural area",,9,,S01012391,,S02002323,"Lerwick South",,S00129104,S14000051,5042,1,0,2020-02-19,"Thurso",214.629,ZE,ZE1,"Scotland","Scottish Water",9CGW4PRM+3W,
