Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income
DD4 6WX,No,56.484488,-2.887336,345451,732840,NO454328,"","Dundee City","The Ferry",S12000042,S13002552,Scotland,S99999999,"Dundee East",2005-09-01,2007-10-01,"","",,,"","","West Pitkerro - 06","Large urban area",,28,,S01007779,,S02001461,"West Pitkerro",,S00099175,S14000015,4230,1,1,2020-02-19,"Broughty Ferry",2.11276,DD,DD4,"Scotland","Scottish Water",9C8VF4M7+Q3,
DD4 6YA,No,56.461653,-2.991362,339008,730385,NO390303,"","Dundee City","West End",S12000042,S13002547,Scotland,S99999999,"Dundee West",2004-01-01,2004-01-01,"","",,,"","","Perth Road - 06","Large urban area",,38,,S01007694,,S02001446,"Perth Road",,S00098484,S14000016,2225,1,1,2020-02-19,"Dundee",1.36414,DD,DD4,"Scotland","Scottish Water",9C8VF265+MF,
DD4 6YB,No,56.461653,-2.991362,339008,730385,NO390303,"","Dundee City","West End",S12000042,S13002547,Scotland,S99999999,"Dundee West",1996-06-01,1997-06-01,"","",,,"","","Perth Road - 06","Large urban area",,38,,S01007694,,S02001446,"Perth Road",,S00098484,S14000016,2225,8,1,2020-02-19,"Dundee",1.36414,DD,DD4,"Scotland","Scottish Water",9C8VF265+MF,
DD4 6YD,No,56.468808,-2.955401,341235,731150,NO412311,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1997-12-01,1998-12-01,"","",,,"","","Stobswell - 07","Large urban area",,51,,S01007732,,S02001452,"Stobswell",,S00099017,S14000015,1937,6,1,2020-02-19,"Dundee",1.67785,DD,DD4,"Scotland","Scottish Water",9C8VF29V+GR,
DD4 6YE,No,56.473301,-2.954134,341320,731649,NO413316,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1995-12-01,1996-07-01,"","",,,"","","Stobswell - 05","Large urban area",,73,,S01007730,,S02001452,"Stobswell",,S00099008,S14000015,1790,8,1,2020-02-19,"Dundee",2.142,DD,DD4,"Scotland","Scottish Water",9C8VF2FW+88,
DD4 6YF,No,56.461653,-2.991362,339008,730385,NO390303,"","Dundee City","West End",S12000042,S13002547,Scotland,S99999999,"Dundee West",1998-06-01,1999-06-01,"","",,,"","","Perth Road - 06","Large urban area",,38,,S01007694,,S02001446,"Perth Road",,S00098484,S14000016,2225,8,1,2020-02-19,"Dundee",1.36414,DD,DD4,"Scotland","Scottish Water",9C8VF265+MF,
DD4 6YG,No,56.468808,-2.955401,341235,731150,NO412311,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1999-06-01,2000-06-01,"","",,,"","","Stobswell - 07","Large urban area",,51,,S01007732,,S02001452,"Stobswell",,S00099017,S14000015,1937,6,1,2020-02-19,"Dundee",1.67785,DD,DD4,"Scotland","Scottish Water",9C8VF29V+GR,
DD4 6YH,No,56.468808,-2.955401,341235,731150,NO412311,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1999-06-01,2000-06-01,"","",,,"","","Stobswell - 07","Large urban area",,51,,S01007732,,S02001452,"Stobswell",,S00099017,S14000015,1937,6,1,2020-02-19,"Dundee",1.67785,DD,DD4,"Scotland","Scottish Water",9C8VF29V+GR,
DD4 6YJ,No,56.484488,-2.887336,345451,732840,NO454328,"","Dundee City","The Ferry",S12000042,S13002552,Scotland,S99999999,"Dundee East",1999-12-01,2005-11-01,"","",,,"","","West Pitkerro - 06","Large urban area",,28,,S01007779,,S02001461,"West Pitkerro",,S00099175,S14000015,4230,1,1,2020-02-19,"Broughty Ferry",2.11276,DD,DD4,"Scotland","Scottish Water",9C8VF4M7+Q3,
DD4 6YL,No,56.472967,-2.959061,341016,731617,NO410316,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",2001-01-01,2001-01-01,"","",,,"","","Stobswell - 04","Large urban area",,68,,S01007729,,S02001452,"Stobswell",,S00098996,S14000016,886,5,0,2020-02-19,"Dundee",1.97698,DD,DD4,"Scotland","Scottish Water",9C8VF2FR+59,
DD4 6YN,No,56.472967,-2.959061,341016,731617,NO410316,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",2001-01-01,2001-01-01,"","",,,"","","Stobswell - 04","Large urban area",,68,,S01007729,,S02001452,"Stobswell",,S00098996,S14000016,886,5,0,2020-02-19,"Dundee",1.97698,DD,DD4,"Scotland","Scottish Water",9C8VF2FR+59,
DD4 6YP,No,56.484488,-2.887336,345451,732840,NO454328,"","Dundee City","The Ferry",S12000042,S13002552,Scotland,S99999999,"Dundee East",2003-09-01,2005-11-01,"","",,,"","","West Pitkerro - 06","Large urban area",,28,,S01007779,,S02001461,"West Pitkerro",,S00099175,S14000015,4230,1,1,2020-02-19,"Broughty Ferry",2.11276,DD,DD4,"Scotland","Scottish Water",9C8VF4M7+Q3,
DD4 7AA,Yes,56.473475,-2.957207,341131,731671,NO411316,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,,"","",30,8,"","","Baxter Park - 01","Large urban area",,71,,S01007733,,S02001453,"Baxter Park",,S00099038,S14000016,4266,1,0,2020-02-19,"Dundee",2.07388,DD,DD4,"Scotland","Scottish Water",9C8VF2FV+94,
DD4 7AB,Yes,56.47416,-2.956997,341145,731748,NO411317,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",21,7,"","","Baxter Park - 01","Large urban area",,77,,S01007733,,S02001453,"Baxter Park",,S00099038,S14000015,4266,1,0,2020-02-19,"Dundee",2.14859,DD,DD4,"Scotland","Scottish Water",9C8VF2FV+M6,
DD4 7AD,Yes,56.474705,-2.956215,341194,731808,NO411318,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",57,34,"","","Baxter Park - 01","Large urban area",,80,,S01007733,,S02001453,"Baxter Park",,S00099663,S14000015,4266,1,0,2020-02-19,"Dundee",2.2235,DD,DD4,"Scotland","Scottish Water",9C8VF2FV+VG,
DD4 7AE,Yes,56.475143,-2.956425,341182,731856,NO411318,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",63,33,"","","Baxter Park - 01","Large urban area",,84,,S01007733,,S02001453,"Baxter Park",,S00099662,S14000015,4266,1,0,2020-02-19,"Dundee",2.26269,DD,DD4,"Scotland","Scottish Water",9C8VF2GV+3C,
DD4 7AF,Yes,56.475682,-2.957603,341110,731917,NO411319,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",15,10,"","","Baxter Park - 01","Large urban area",,87,,S01007733,,S02001453,"Baxter Park",,S00099041,S14000015,4266,1,0,2020-02-19,"Dundee",2.29034,DD,DD4,"Scotland","Scottish Water",9C8VF2GR+7X,
DD4 7AG,Yes,56.475792,-2.957314,341128,731929,NO411319,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",29,17,"","","Baxter Park - 01","Large urban area",,88,,S01007733,,S02001453,"Baxter Park",,S00099041,S14000015,4266,1,0,2020-02-19,"Dundee",2.30822,DD,DD4,"Scotland","Scottish Water",9C8VF2GV+83,
DD4 7AH,Yes,56.476304,-2.956239,341195,731986,NO411319,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",29,12,"","","Baxter Park - 01","Large urban area",,90,,S01007733,,S02001453,"Baxter Park",,S00099039,S14000015,4266,1,0,2020-02-19,"Dundee",2.38581,DD,DD4,"Scotland","Scottish Water",9C8VF2GV+GG,
DD4 7AJ,Yes,56.476865,-2.958072,341083,732050,NO410320,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",22,5,"","","Baxter Park - 01","Large urban area",,93,,S01007733,,S02001453,"Baxter Park",,S00099039,S14000015,4266,1,0,2020-02-19,"Dundee",2.40341,DD,DD4,"Scotland","Scottish Water",9C8VF2GR+PQ,
DD4 7AL,Yes,56.476674,-2.95594,341214,732026,NO412320,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",73,21,"","","Baxter Park - 01","Large urban area",,91,,S01007733,,S02001453,"Baxter Park",,S00099039,S14000015,4266,1,0,2020-02-19,"Dundee",2.43082,DD,DD4,"Scotland","Scottish Water",9C8VF2GV+MJ,
DD4 7AN,Yes,56.477117,-2.954441,341307,732074,NO413320,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",30,13,"","","Baxter Park - 01","Large urban area",,91,,S01007733,,S02001453,"Baxter Park",,S00099040,S14000015,4266,1,0,2020-02-19,"Dundee",2.51257,DD,DD4,"Scotland","Scottish Water",9C8VF2GW+R6,
DD4 7AP,Yes,56.476963,-2.955736,341227,732058,NO412320,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",24,9,"","","Baxter Park - 01","Large urban area",,92,,S01007733,,S02001453,"Baxter Park",,S00099039,S14000015,4266,1,0,2020-02-19,"Dundee",2.46528,DD,DD4,"Scotland","Scottish Water",9C8VF2GV+QP,
DD4 7AQ,Yes,56.475996,-2.956507,341178,731951,NO411319,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",50,15,"","","Baxter Park - 01","Large urban area",,88,,S01007733,,S02001453,"Baxter Park",,S00099041,S14000015,4266,1,0,2020-02-19,"Dundee",2.34789,DD,DD4,"Scotland","Scottish Water",9C8VF2GV+99,
DD4 7AR,Yes,56.47341,-2.95628,341188,731663,NO411316,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",53,32,"","","Stobswell - 05","Large urban area",,71,,S01007730,,S02001452,"Stobswell",,S00099036,S14000015,1790,1,0,2020-02-19,"Dundee",2.0916,DD,DD4,"Scotland","Scottish Water",9C8VF2FV+9F,
DD4 7AS,Yes,56.473858,-2.956393,341182,731713,NO411317,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",48,23,"","","Baxter Park - 01","Large urban area",,75,,S01007733,,S02001453,"Baxter Park",,S00099038,S14000015,4266,1,0,2020-02-19,"Dundee",2.1335,DD,DD4,"Scotland","Scottish Water",9C8VF2FV+GC,
DD4 7AT,Yes,56.474791,-2.955471,341240,731816,NO412318,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",26,17,"","","Baxter Park - 01","Large urban area",,82,,S01007733,,S02001453,"Baxter Park",,S00099663,S14000015,4266,1,0,2020-02-19,"Dundee",2.25141,DD,DD4,"Scotland","Scottish Water",9C8VF2FV+WR,
