Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income
DG11 1SJ,Yes,55.145476,-3.521697,303111,584515,NY031845,"","Dumfries and Galloway","Lochar",S12000006,S13002887,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",14,7,"","","Mid Nithsdale - 04","Accessible rural area",,117,,S01007567,,S02001421,"Mid Nithsdale",,S00097300,S14000014,5088,1,0,2020-02-19,"Dumfries",9.65498,DG,DG11,"Scotland","Scottish Water",9C7R4FWH+58,
DG11 1SL,No,55.120207,-3.3556,313642,581485,NY136814,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1994-10-01,2003-06-01,"","",,,"","","Lockerbie - 04","Accessible small town",,80,,S01007638,,S02001436,"Lockerbie",,S00098069,S14000014,3841,1,1,2020-02-19,"Lockerbie",0.342825,DG,DG11,"Scotland","Scottish Water",9C7R4JCV+3Q,
DG11 1SN,Yes,55.135764,-3.440852,308241,583325,NY082833,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1990-02-01,,"","",28,12,"","","Lochmaben - 03","Accessible rural area",,55,,S01007633,,S02001435,"Lochmaben",,S00098081,S14000014,4337,1,0,2020-02-19,"Lockerbie",5.72424,DG,DG11,"Scotland","Scottish Water",9C7R4HP5+8M,
DG11 1SP,Yes,55.151088,-3.52497,302916,585144,NY029851,"","Dumfries and Galloway","Lochar",S12000006,S13002887,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1997-12-01,,"","",11,4,"","","Mid Nithsdale - 04","Accessible rural area",,81,,S01007567,,S02001421,"Mid Nithsdale",,S00097300,S14000014,5088,1,0,2020-02-19,"Dumfries",10.0781,DG,DG11,"Scotland","Scottish Water",9C7R5F2G+C2,
DG11 1SQ,Yes,55.141963,-3.529517,302604,584135,NY026841,"","Dumfries and Galloway","Lochar",S12000006,S13002887,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",24,8,"","","Mid Nithsdale - 04","Accessible rural area",,124,,S01007567,,S02001421,"Mid Nithsdale",,S00097300,S14000014,5088,1,0,2020-02-19,"Dumfries",9.0595,DG,DG11,"Scotland","Scottish Water",9C7R4FRC+Q5,
DG11 1SR,Yes,55.128924,-3.453091,307445,582580,NY074825,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",2007-11-01,,"","",38,18,"","","Lochmaben - 02","Accessible rural area",,68,,S01007632,,S02001435,"Lochmaben",,S00098079,S14000014,4158,1,0,2020-02-19,"Lockerbie",6.35895,DG,DG11,"Scotland","Scottish Water",9C7R4GHW+HQ,
DG11 1SS,Yes,55.127792,-3.378003,312230,582357,NY122823,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",42,16,"","","Lochmaben - 04","Accessible rural area",,62,,S01007634,,S02001435,"Lochmaben",,S00097148,S14000014,3818,1,0,2020-02-19,"Lockerbie",1.64133,DG,DG11,"Scotland","Scottish Water",9C7R4JHC+4Q,
DG11 1ST,Yes,55.129051,-3.387015,311658,582509,NY116825,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",2,2,"","","Lochmaben - 04","Accessible rural area",,55,,S01007634,,S02001435,"Lochmaben",,S00097148,S14000014,3818,1,0,2020-02-19,"Lockerbie",2.2291,DG,DG11,"Scotland","Scottish Water",9C7R4JH7+J5,
DG11 1SU,Yes,55.137189,-3.393277,311277,583422,NY112834,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",19,9,"","","Lochmaben - 04","Accessible rural area",,51,,S01007634,,S02001435,"Lochmaben",,S00097148,S14000014,3818,1,0,2020-02-19,"Lockerbie",2.97338,DG,DG11,"Scotland","Scottish Water",9C7R4JP4+VM,
DG11 1SW,Yes,55.129115,-3.446793,307847,582593,NY078825,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",2009-10-01,,"","",7,3,"","","Lochmaben - 02","Accessible rural area",,57,,S01007632,,S02001435,"Lochmaben",,S00097144,S14000014,4158,1,0,2020-02-19,"Lockerbie",5.9634,DG,DG11,"Scotland","Scottish Water",9C7R4HH3+J7,
