Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income
PH26 3LP,Yes,57.393119,-3.452377,312804,834565,NJ128345,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",44,21,"","","Badenoch and Strathspey North - 06","Remote rural area",,166,,S01010547,,S02001984,"Badenoch and Strathspey North",,S00117665,S14000039,4794,1,0,2020-02-19,"Carrbridge",25.834,PH,PH26,"Scotland","Scottish Water",9C9R9GVX+62,
PH26 3LQ,Yes,57.338491,-3.545586,307064,828608,NJ070286,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",32,15,"","","Badenoch and Strathspey North - 06","Remote rural area",,187,,S01010547,,S02001984,"Badenoch and Strathspey North",,S00117665,S14000039,4794,1,0,2020-02-19,"Carrbridge",18.1841,PH,PH26,"Scotland","Scottish Water",9C9R8FQ3+9Q,
PH26 3LR,Yes,57.396968,-3.413373,315157,834944,NJ151349,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",6,4,"","","Badenoch and Strathspey North - 06","Remote rural area",,237,,S01010547,,S02001984,"Badenoch and Strathspey North",,S00117665,S14000039,4794,1,0,2020-02-19,"Forres",26.8397,PH,PH26,"Scotland","Scottish Water",9C9R9HWP+QM,
PH26 3LS,Yes,57.301438,-3.659338,300117,824645,NJ001246,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",38,14,"","","Badenoch and Strathspey North - 06","Remote rural area",,214,,S01010547,,S02001984,"Badenoch and Strathspey North",,S00117668,S14000039,4794,1,0,2020-02-19,"Carrbridge",10.4286,PH,PH26,"Scotland","Scottish Water",9C9R882R+H7,
PH26 3LT,Yes,57.30391,-3.665973,299724,824930,NH997249,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",11,5,"","","Badenoch and Strathspey North - 02","Remote rural area",,224,,S01010543,,S02001984,"Badenoch and Strathspey North",,S00117662,S14000039,4048,1,0,2020-02-19,"Carrbridge",10.1116,PH,PH26,"Scotland","Scottish Water",9C9R883M+HJ,
PH26 3LU,Yes,57.293409,-3.666826,299644,823763,NH996237,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",32,16,"","","Badenoch and Strathspey North - 02","Remote rural area",,232,,S01010543,,S02001984,"Badenoch and Strathspey North",,S00117661,S14000039,4048,1,0,2020-02-19,"Carrbridge",9.81367,PH,PH26,"Scotland","Scottish Water",9C9R78VM+97,
PH26 3LW,Yes,57.341034,-3.517579,308756,828853,NJ087288,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",66,24,"","","Badenoch and Strathspey North - 06","Remote rural area",,214,,S01010547,,S02001984,"Badenoch and Strathspey North",,S00117665,S14000039,4794,1,0,2020-02-19,"Carrbridge",19.8562,PH,PH26,"Scotland","Scottish Water",9C9R8FRJ+CX,
PH26 3LX,Yes,57.282788,-3.671372,299341,822587,NH993225,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",16,7,"","","Badenoch and Strathspey North - 02","Remote rural area",,240,,S01010543,,S02001984,"Badenoch and Strathspey North",,S00117661,S14000039,4048,1,0,2020-02-19,"Carrbridge",9.42672,PH,PH26,"Scotland","Scottish Water",9C9R78MH+4F,
PH26 3LY,Yes,57.304732,-3.684834,298590,825050,NH985250,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",15,7,"","","Badenoch and Strathspey North - 02","Remote rural area",,250,,S01010543,,S02001984,"Badenoch and Strathspey North",,S00117662,S14000039,4048,1,0,2020-02-19,"Carrbridge",9.05342,PH,PH26,"Scotland","Scottish Water",9C9R8838+V3,
PH26 3LZ,Yes,57.292123,-3.728548,295921,823712,NH959237,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","The Cairngorms National Park",32,14,"","","Badenoch and Strathspey North - 02","Remote rural area",,231,,S01010543,,S02001984,"Badenoch and Strathspey North",,S00117660,S14000039,4048,1,0,2020-02-19,"Carrbridge",6.14681,PH,PH26,"Scotland","Scottish Water",9C9R77RC+RH,
PH26 3NA,Yes,57.32474,-3.620561,302515,827183,NJ025271,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1992-05-01,,"","The Cairngorms National Park",0,0,"","","Badenoch and Strathspey North - 03","Remote rural area",,225,,S01010544,,S02001984,"Badenoch and Strathspey North",,S00119222,S14000039,4626,1,0,2020-02-19,"Carrbridge",13.4397,PH,PH26,"Scotland","Scottish Water",9C9R89FH+VQ,
PH26 3NB,Yes,57.321819,-3.622442,302394,826860,NJ023268,"","Highland","Badenoch and Strathspey",S12000017,S13003009,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1992-05-01,,"","The Cairngorms National Park",0,0,"","","Badenoch and Strathspey North - 03","Remote rural area",,227,,S01010544,,S02001984,"Badenoch and Strathspey North",,S00119222,S14000039,4626,1,0,2020-02-19,"Carrbridge",13.2166,PH,PH26,"Scotland","Scottish Water",9C9R89CH+P2,
